iter	Passed	Remaining
0	56	56214
1	107	53709
2	160	53491
3	215	53594
4	267	53273
5	315	52313
6	364	51762
7	419	52008
8	466	51408
9	516	51140
10	567	51028
11	622	51215
12	672	51034
13	721	50816
14	773	50789
15	823	50615
16	872	50465
17	920	50232
18	971	50159
19	1020	50021
20	1069	49839
21	1122	49913
22	1168	49617
23	1204	48968
24	1243	48514
25	1284	48133
26	1325	47762
27	1365	47387
28	1412	47285
29	1453	47004
30	1489	46556
31	1530	46285
32	1571	46047
33	1610	45766
34	1658	45716
35	1701	45557
36	1739	45262
37	1784	45188
38	1828	45061
39	1873	44963
40	1923	45001
41	1969	44914
42	2022	45006
43	2070	44990
44	2120	45001
45	2155	44712
46	2202	44651
47	2252	44664
48	2293	44517
49	2331	44302
50	2376	44212
51	2433	44362
52	2478	44287
53	2527	44282
54	2572	44207
55	2624	44238
56	2670	44188
57	2708	43984
58	2762	44065
59	2805	43948
60	2856	43976
61	2905	43951
62	2955	43955
63	2998	43848
64	3047	43838
65	3087	43694
66	3126	43541
67	3168	43432
68	3218	43433
69	3260	43312
70	3317	43407
71	3358	43290
72	3409	43297
73	3457	43262
74	3508	43268
75	3549	43153
76	3600	43159
77	3648	43128
78	3690	43029
79	3726	42857
80	3784	42933
81	3827	42847
82	3865	42705
83	3904	42575
84	3951	42538
85	3997	42485
86	4047	42474
87	4079	42282
88	4117	42143
89	4161	42076
90	4207	42029
91	4256	42008
92	4299	41935
93	4351	41941
94	4405	41969
95	4450	41910
96	4502	41910
97	4546	41841
98	4594	41818
99	4657	41916
100	4705	41879
101	4756	41873
102	4800	41809
103	4838	41688
104	4895	41724
105	4940	41665
106	4983	41592
107	5034	41579
108	5082	41548
109	5126	41480
110	5173	41433
111	5210	41314
112	5256	41259
113	5301	41205
114	5347	41150
115	5393	41100
116	5433	41010
117	5477	40944
118	5522	40884
119	5566	40818
120	5618	40818
121	5664	40763
122	5702	40659
123	5752	40639
124	5793	40553
125	5842	40528
126	5892	40504
127	5929	40396
128	5980	40378
129	6025	40322
130	6064	40228
131	6112	40196
132	6159	40155
133	6199	40067
134	6249	40045
135	6298	40015
136	6350	40006
137	6399	39973
138	6448	39942
139	6505	39960
140	6549	39901
141	6602	39891
142	6648	39841
143	6692	39781
144	6748	39793
145	6785	39688
146	6827	39616
147	6872	39561
148	6918	39517
149	6956	39421
150	6994	39327
151	7046	39313
152	7083	39214
153	7121	39123
154	7170	39090
155	7214	39030
156	7242	38885
157	7287	38833
158	7321	38724
159	7373	38711
160	7410	38617
161	7451	38546
162	7505	38542
163	7555	38515
164	7603	38478
165	7649	38430
166	7699	38407
167	7733	38297
168	7777	38244
169	7822	38190
170	7867	38140
171	7911	38085
172	7961	38058
173	8002	37990
174	8045	37929
175	8096	37908
176	8135	37827
177	8185	37801
178	8224	37722
179	8274	37694
180	8318	37638
181	8368	37611
182	8406	37530
183	8451	37479
184	8489	37397
185	8521	37291
186	8567	37248
187	8610	37189
188	8657	37148
189	8708	37123
190	8735	37000
191	8777	36939
192	8811	36844
193	8856	36794
194	8899	36740
195	8952	36725
196	8996	36670
197	9040	36617
198	9082	36556
199	9137	36551
200	9179	36490
201	9230	36466
202	9271	36398
203	9322	36377
204	9368	36329
205	9417	36298
206	9461	36247
207	9514	36229
208	9548	36137
209	9582	36047
210	9633	36024
211	9672	35953
212	9726	35936
213	9767	35876
214	9814	35834
215	9857	35778
216	9902	35730
217	9947	35682
218	9999	35659
219	10047	35621
220	10085	35550
221	10133	35513
222	10182	35479
223	10218	35399
224	10264	35356
225	10305	35294
226	10345	35229
227	10391	35186
228	10437	35140
229	10475	35069
230	10523	35032
231	10571	34994
232	10615	34943
233	10671	34933
234	10728	34925
235	10788	34925
236	10838	34894
237	10888	34860
238	10933	34813
239	10976	34760
240	11019	34705
241	11072	34682
242	11124	34656
243	11163	34589
244	11222	34582
245	11261	34515
246	11297	34441
247	11345	34403
248	11380	34325
249	11429	34287
250	11482	34264
251	11530	34226
252	11583	34200
253	11605	34086
254	11649	34033
255	11700	34005
256	11753	33979
257	11800	33938
258	11848	33898
259	11899	33866
260	11943	33816
261	11992	33780
262	12041	33742
263	12083	33688
264	12123	33625
