iter	RMSE
0	952.014752
1	935.4187742
2	926.0870132
3	919.7119787
4	914.2205223
5	910.5618652
6	907.3102216
7	904.5613954
8	902.0595543
9	900.4517021
10	898.0975395
11	896.5059035
12	894.2446903
13	891.3299166
14	890.0597268
15	887.4444933
16	885.0033659
17	883.2540034
18	882.223408
19	881.19865
20	880.2610413
21	878.58021
22	876.0955685
23	875.0473229
24	874.1718109
25	873.274161
26	872.4141668
27	871.4310618
28	870.1377957
29	869.4651598
30	868.4381031
31	866.8157777
32	866.028226
33	864.983669
34	863.8325777
35	862.433821
36	861.2675108
37	860.2772113
38	860.0004906
39	858.8242021
40	858.1451606
41	857.4810691
42	856.3711057
43	855.3822898
44	854.3546248
45	853.7213941
46	852.4858376
47	851.2141646
48	850.6703525
49	849.6787263
50	848.9187412
51	848.2470266
52	847.4536041
53	846.9499302
54	846.7441254
55	845.9784645
56	845.3979434
57	844.7155126
58	843.8307558
59	843.4085098
60	842.5390599
61	841.6772324
62	841.1400515
63	840.8330543
64	840.2086898
65	839.6081204
66	838.9123296
67	838.5473433
68	837.7994504
69	837.2250861
70	836.8163384
71	835.9903151
72	835.4929099
73	834.4212634
74	833.888644
75	833.5813305
76	832.6519171
77	832.3048646
78	831.6245014
79	831.1211648
80	830.723789
81	829.8552588
82	829.1178498
83	828.8320668
84	828.4061036
85	827.8719789
86	826.6767635
87	826.5607988
88	825.8812237
89	825.331317
90	825.0095092
91	824.5713132
92	823.9944027
93	823.6547517
94	823.3895073
95	823.0480388
96	822.4395045
97	822.0409042
98	821.7123205
99	821.4078732
100	820.806855
101	820.4169251
102	820.2318978
103	819.7157129
104	819.393027
105	819.0597252
106	818.65489
107	818.3565439
108	818.2322802
109	817.9881822
110	817.64994
111	817.1839536
112	817.0124368
113	816.8490829
114	816.5614839
115	816.4946215
116	816.1761965
117	815.6017425
118	815.2330142
119	814.7026673
120	814.3524164
121	814.0785251
122	813.8485155
123	813.2474081
124	812.9512782
125	812.5784186
126	811.9677779
127	811.5723811
128	810.9944076
129	810.6890505
130	810.4254075
131	810.3955712
132	810.2766793
133	809.9742834
134	809.4415682
135	809.2514916
136	808.9140495
137	808.7860615
138	808.224386
139	807.8071694
140	807.1965246
141	806.9047275
142	806.4540823
143	806.066206
144	805.598582
145	805.3395886
146	805.2180927
147	805.0521712
148	804.8834201
149	804.0584993
150	803.7186909
151	803.4852728
152	802.9922115
153	802.6538385
154	802.3555742
155	802.0934371
156	801.5350056
157	801.4079931
158	801.1150964
159	800.8079436
160	799.9657954
161	799.5705287
162	799.3027169
163	798.8666707
164	798.6210569
165	798.1746454
166	797.6581186
167	797.1170658
168	796.9833236
169	796.8330404
170	796.7597866
171	796.7084387
172	796.297475
173	796.2099638
174	796.0893647
175	795.5053192
176	795.2119699
177	794.8830007
178	794.6102023
179	794.5172788
180	794.4549399
181	794.2552814
182	793.7458375
183	793.2399543
184	792.9117005
185	792.6395925
186	792.0413104
187	791.7385563
188	791.7066192
189	791.44588
190	791.117907
191	790.7825036
192	790.3859731
193	790.2961178
194	790.1507101
195	789.6654056
196	789.2653619
197	788.7785129
198	788.5416654
199	788.093137
200	787.4715114
201	787.0387791
202	786.4875369
203	786.4520609
204	786.2530213
205	785.9663967
206	785.6203615
207	785.3308351
208	785.035578
209	784.8800659
210	784.7804661
211	784.3864434
212	784.0967056
213	783.819816
214	783.4900682
215	783.3913968
216	783.2425989
217	782.9992131
218	782.9796273
219	782.5679965
220	782.3659846
221	782.1050805
222	781.9031949
223	781.7213113
224	781.4708277
225	781.034643
226	780.8602405
227	780.6744007
228	780.4978023
229	780.4463455
230	780.0974363
231	780.0662568
232	779.989751
233	779.6810631
234	779.2770433
235	779.0293634
236	778.9903899
237	778.5949712
238	778.3338342
239	777.9829632
240	777.9615087
241	777.6378735
242	777.4179591
243	776.9364971
244	776.5910763
245	776.5245313
246	776.241881
247	775.9495089
248	775.5552766
249	775.370076
250	775.2046803
251	775.0461769
252	774.8804301
253	774.5909788
254	774.2793864
255	774.0558898
256	773.8406827
257	773.6112155
258	773.4079693
259	773.0550771
260	772.6535078
261	772.3138208
262	772.0805177
263	771.9065337
264	771.6281944
265	771.3901731
