iter	Passed	Remaining
0	35	70125
1	75	75429
2	120	79927
3	158	79284
4	200	79805
5	236	78457
6	282	80495
7	329	82001
8	377	83528
9	427	84997
10	477	86373
11	517	85751
12	567	86726
13	618	87789
14	661	87578
15	718	89062
16	766	89445
17	813	89597
18	855	89170
19	896	88769
20	946	89235
21	1001	90016
22	1057	90878
23	1106	91083
24	1159	91604
25	1209	91829
26	1247	91131
27	1288	90742
28	1343	91282
29	1382	90755
30	1435	91193
31	1480	91028
32	1527	91026
33	1567	90638
34	1609	90374
35	1664	90799
36	1715	91001
37	1758	90808
38	1799	90466
39	1849	90633
40	1894	90524
41	1938	90391
42	1979	90106
43	2031	90318
44	2075	90151
45	2114	89809
46	2165	89974
47	2219	90261
48	2270	90412
49	2327	90761
50	2378	90884
51	2419	90647
52	2466	90616
53	2509	90422
54	2543	89950
55	2584	89715
56	2627	89565
57	2666	89296
58	2705	89006
59	2751	88950
60	2799	88985
61	2850	89100
62	2890	88882
63	2928	88599
64	2974	88553
65	3019	88490
66	3068	88537
67	3109	88338
68	3154	88275
69	3203	88314
70	3255	88444
71	3298	88334
72	3325	87793
73	3372	87778
74	3417	87727
75	3465	87740
76	3515	87785
77	3564	87821
78	3614	87902
79	3663	87921
80	3701	87681
81	3754	87807
82	3806	87922
83	3848	87777
84	3898	87828
85	3952	87971
86	4000	87975
87	4041	87814
88	4086	87746
89	4130	87666
90	4173	87556
91	4218	87492
92	4261	87373
93	4305	87308
94	4350	87232
95	4397	87210
96	4450	87308
97	4490	87145
98	4531	87010
99	4575	86938
100	4625	86969
101	4672	86937
102	4710	86751
103	4761	86808
104	4812	86850
105	4863	86892
106	4916	86975
107	4955	86820
108	4988	86547
109	5029	86418
110	5074	86352
111	5126	86415
112	5168	86314
113	5211	86225
114	5258	86194
115	5304	86154
116	5350	86105
117	5398	86094
118	5449	86144
119	5492	86041
120	5541	86055
121	5591	86070
122	5635	85996
123	5678	85912
124	5717	85755
125	5762	85701
126	5812	85724
127	5855	85643
128	5909	85717
129	5956	85677
130	6005	85682
131	6034	85391
132	6072	85246
133	6115	85160
134	6152	84999
135	6195	84910
136	6235	84791
137	6266	84554
138	6308	84461
139	6362	84528
140	6405	84451
141	6446	84344
142	6483	84193
143	6528	84142
144	6581	84203
145	6635	84260
146	6674	84141
147	6710	83976
148	6755	83925
149	6797	83841
150	6847	83842
151	6893	83807
152	6943	83826
153	6992	83823
154	7037	83763
155	7080	83699
156	7131	83715
157	7171	83605
158	7221	83612
159	7276	83680
160	7329	83724
161	7377	83706
162	7419	83612
163	7467	83599
164	7522	83658
165	7570	83639
166	7616	83601
167	7665	83595
168	7713	83575
169	7762	83561
170	7805	83488
171	7841	83338
172	7886	83288
173	7928	83204
174	7957	82981
175	8010	83022
176	8062	83038
177	8108	82998
178	8153	82948
179	8193	82848
180	8239	82804
181	8281	82722
182	8324	82649
183	8364	82553
184	8417	82581
185	8468	82591
186	8508	82491
187	8544	82352
188	8574	82163
189	8613	82051
190	8653	81957
191	8702	81948
192	8754	81967
193	8790	81837
194	8831	81751
195	8873	81672
196	8922	81665
197	8970	81640
198	9014	81579
199	9069	81629
200	9114	81579
201	9159	81526
202	9203	81467
203	9245	81394
204	9284	81299
205	9324	81208
206	9370	81164
207	9408	81060
208	9455	81025
209	9497	80958
210	9546	80941
211	9593	80912
212	9637	80853
213	9679	80782
214	9719	80696
215	9764	80646
216	9806	80573
217	9856	80567
218	9897	80494
219	9946	80473
220	9993	80443
221	10030	80333
222	10074	80282
223	10118	80224
224	10162	80174
225	10207	80124
226	10253	80082
227	10292	79992
228	10336	79940
229	10380	79883
230	10432	79891
231	10477	79845
232	10518	79768
233	10570	79776
234	10620	79764
235	10659	79675
236	10694	79556
237	10748	79574
238	10789	79501
239	10836	79464
240	10874	79371
241	10928	79389
242	10980	79390
243	11021	79319
244	11060	79232
245	11099	79137
246	11147	79112
247	11203	79146
248	11249	79104
249	11301	79110
250	11345	79060
251	11396	79050
252	11440	78998
253	11485	78948
254	11538	78958
255	11587	78937
256	11627	78856
257	11676	78835
258	11727	78834
259	11768	78757
260	11826	78798
261	11872	78754
262	11914	78687
263	11963	78668
264	11999	78559
265	12041	78495
266	12085	78443
267	12134	78419
268	12179	78374
269	12221	78310
270	12265	78256
271	12310	78210
272	12355	78160
273	12398	78103
274	12440	78033
275	12478	77946
276	12511	77826
277	12560	77801
278	12595	77695
279	12649	77701
280	12702	77704
281	12751	77687
282	12788	77587
283	12832	77536
284	12877	77492
285	12924	77456
286	12963	77375
287	13010	77342
288	13061	77330
289	13101	77251
290	13137	77153
291	13175	77070
292	13225	77053
293	13271	77013
294	13325	77017
295	13378	77018
296	13422	76962
297	13461	76884
298	13502	76816
299	13546	76763
300	13599	76760
301	13636	76668
302	13677	76605
303	13721	76549
304	13762	76485
305	13811	76461
306	13858	76424
307	13902	76374
308	13947	76328
309	13993	76285
310	14032	76206
311	14074	76147
312	14115	76081
313	14167	76073
314	14203	75978
315	14246	75920
316	14291	75873
317	14338	75843
318	14394	75850
319	14429	75753
320	14481	75748
321	14529	75714
322	14576	75681
323	14627	75665
324	14676	75641
325	14721	75592
326	14755	75493
327	14801	75449
328	14841	75382
329	14894	75375
330	14940	75336
331	14987	75299
332	15034	75262
333	15073	75185
334	15113	75118
335	15161	75083
336	15204	75029
337	15240	74938
338	15282	74878
339	15320	74798
340	15369	74772
341	15422	74766
342	15463	74702
343	15508	74656
344	15559	74641
345	15616	74654
346	15665	74625
347	15712	74591
348	15760	74557
349	15803	74503
350	15850	74468
351	15919	74533
352	15969	74507
353	16011	74448
354	16052	74381
355	16098	74344
356	16138	74275
357	16180	74213
358	16236	74215
359	16281	74171
360	16322	74105
361	16361	74033
362	16404	73976
363	16444	73908
364	16485	73845
365	16529	73795
366	16576	73757
367	16620	73708
368	16667	73669
369	16713	73627
370	16765	73613
371	16817	73600
372	16857	73530
373	16893	73447
374	16932	73373
375	16968	73290
376	17017	73260
377	17068	73239
378	17110	73182
379	17154	73130
380	17205	73113
381	17260	73110
382	17308	73076
383	17345	72994
384	17392	72958
385	17438	72916
386	17476	72841
387	17515	72769
388	17551	72686
389	17598	72650
390	17649	72627
391	17700	72608
392	17747	72570
393	17809	72594
394	17841	72494
395	17877	72414
396	17928	72389
397	17969	72328
398	18013	72278
399	18064	72257
400	18095	72154
401	18136	72096
402	18176	72031
403	18217	71969
404	18253	71887
405	18293	71823
406	18332	71752
407	18381	71724
408	18429	71689
409	18472	71636
410	18517	71591
411	18573	71587
412	18618	71545
413	18652	71457
414	18691	71388
415	18728	71313
416	18776	71277
417	18815	71212
418	18859	71161
419	18903	71114
420	18955	71093
421	19004	71064
422	19050	71022
423	19098	70987
424	19146	70955
425	19193	70918
426	19245	70896
427	19292	70860
428	19342	70833
429	19391	70802
430	19438	70762
431	19488	70736
432	19533	70689
433	19569	70612
434	19609	70550
435	19656	70510
436	19702	70467
437	19745	70417
438	19794	70384
439	19839	70341
440	19889	70312
441	19939	70283
442	19975	70205
443	20014	70139
444	20056	70083
445	20094	70016
446	20132	69947
447	20170	69875
448	20213	69825
449	20254	69766
450	20297	69714
451	20342	69669
452	20387	69621
453	20428	69565
454	20484	69557
455	20523	69490
456	20563	69430
457	20606	69377
458	20652	69338
459	20699	69298
460	20752	69278
461	20791	69214
462	20830	69151
463	20871	69092
464	20916	69048
465	20962	69004
466	21002	68944
467	21048	68903
468	21090	68846
469	21140	68819
470	21165	68709
471	21206	68651
472	21245	68589
473	21290	68542
474	21340	68513
475	21376	68441
476	21405	68344
477	21446	68288
478	21493	68249
479	21538	68204
480	21580	68149
481	21630	68121
482	21670	68060
483	21709	67998
484	21760	67973
485	21800	67913
486	21849	67880
487	21886	67812
488	21924	67746
489	21962	67680
490	22001	67616
491	22048	67579
492	22093	67535
493	22147	67518
494	22188	67461
495	22226	67397
496	22272	67356
497	22314	67301
498	22363	67268
499	22410	67231
500	22456	67190
501	22506	67161
502	22546	67101
503	22592	67060
504	22635	67009
505	22681	66969
506	22733	66945
507	22782	66912
508	22827	66867
509	22876	66836
510	22928	66810
511	22972	66763
512	23021	66731
513	23060	66669
514	23098	66603
515	23143	66560
516	23181	66494
517	23225	66449
518	23276	66422
519	23317	66364
520	23363	66324
521	23406	66272
522	23451	66228
523	23490	66169
524	23537	66129
525	23583	66088
526	23622	66025
527	23668	65985
528	23717	65950
529	23765	65915
530	23813	65878
531	23864	65852
532	23914	65820
533	23956	65768
534	24003	65727
535	24048	65683
536	24089	65629
537	24133	65583
538	24176	65532
539	24224	65496
540	24279	65477
541	24323	65429
542	24369	65387
543	24421	65364
544	24470	65330
545	24518	65291
546	24568	65260
547	24603	65190
548	24652	65157
549	24705	65132
550	24750	65087
551	24788	65024
552	24832	64977
553	24886	64956
554	24940	64933
555	24984	64886
556	25033	64852
557	25077	64804
558	25120	64756
559	25170	64723
560	25214	64676
561	25264	64645
562	25313	64610
563	25353	64551
564	25394	64496
565	25438	64450
566	25492	64426
567	25535	64377
568	25577	64324
569	25620	64274
570	25662	64222
571	25703	64169
572	25752	64134
573	25795	64083
574	25831	64016
575	25877	63974
576	25926	63940
577	25968	63887
578	26021	63862
579	26063	63810
580	26102	63752
581	26149	63711
582	26187	63650
583	26231	63602
584	26277	63558
585	26330	63534
586	26374	63487
587	26421	63446
588	26460	63388
589	26505	63344
590	26551	63301
591	26592	63247
592	26634	63195
593	26677	63145
594	26723	63102
595	26765	63051
596	26809	63005
597	26849	62947
598	26891	62896
599	26935	62849
600	26983	62812
601	27033	62779
602	27082	62743
603	27130	62706
604	27178	62668
605	27236	62652
606	27287	62621
607	27335	62584
608	27389	62559
609	27435	62516
610	27475	62459
611	27514	62402
612	27559	62356
613	27605	62314
614	27650	62269
615	27695	62223
616	27737	62172
617	27782	62129
618	27831	62091
619	27881	62059
620	27927	62017
621	27970	61965
622	28012	61915
623	28050	61855
624	28089	61797
625	28134	61751
626	28179	61707
627	28226	61666
628	28275	61630
629	28323	61591
630	28366	61542
631	28408	61491
632	28451	61443
633	28500	61406
634	28548	61367
635	28595	61327
636	28642	61286
637	28689	61245
638	28739	61211
639	28794	61189
640	28845	61157
641	28877	61084
642	28916	61026
643	28955	60968
644	28997	60916
645	29035	60858
646	29079	60809
647	29119	60754
648	29161	60704
649	29207	60662
650	29247	60607
651	29294	60566
652	29342	60528
653	29383	60474
654	29422	60417
655	29465	60368
656	29512	60328
657	29551	60270
658	29605	60243
659	29653	60205
660	29693	60150
661	29738	60106
662	29786	60067
663	29821	60001
664	29863	59950
665	29908	59906
666	29951	59858
667	29996	59812
668	30047	59780
669	30097	59746
670	30144	59704
671	30190	59662
672	30239	59625
673	30285	59581
674	30336	59549
675	30369	59481
676	30411	59430
677	30452	59377
678	30497	59332
679	30543	59289
680	30589	59247
681	30639	59213
682	30678	59156
683	30721	59107
684	30766	59061
685	30810	59016
686	30854	58968
687	30895	58917
688	30936	58864
689	30990	58837
690	31031	58785
691	31083	58753
692	31124	58699
693	31174	58665
694	31213	58609
695	31255	58558
696	31296	58506
697	31342	58464
698	31389	58422
699	31436	58382
700	31487	58349
701	31541	58321
702	31590	58283
703	31633	58234
704	31681	58195
705	31733	58163
706	31788	58136
707	31845	58114
708	31901	58088
709	31952	58054
710	32001	58016
711	32048	57975
712	32100	57942
713	32148	57903
714	32188	57849
715	32235	57806
716	32279	57760
717	32316	57701
718	32365	57663
719	32409	57616
720	32452	57569
721	32495	57520
722	32541	57476
723	32582	57425
724	32627	57379
725	32670	57330
726	32719	57292
727	32766	57251
728	32808	57200
729	32853	57155
730	32901	57117
731	32936	57053
732	32983	57011
733	33028	56967
734	33072	56920
735	33139	56912
736	33186	56871
737	33225	56817
738	33269	56769
739	33312	56722
740	33352	56667
741	33398	56624
742	33441	56576
743	33486	56531
744	33533	56489
745	33571	56433
746	33620	56394
747	33673	56362
748	33717	56315
749	33753	56255
750	33805	56222
751	33855	56185
752	33901	56141
753	33944	56094
754	33991	56051
755	34037	56008
756	34077	55954
757	34115	55899
758	34152	55840
759	34196	55794
760	34241	55749
761	34286	55704
762	34343	55678
763	34392	55640
764	34446	55610
765	34492	55566
766	34534	55516
767	34580	55472
768	34629	55434
769	34666	55377
770	34733	55366
771	34779	55323
772	34820	55271
773	34875	55242
774	34911	55182
775	34944	55118
776	34988	55072
777	35032	55025
778	35076	54978
779	35131	54949
780	35179	54909
781	35221	54859
782	35271	54821
783	35314	54773
784	35361	54731
785	35429	54721
786	35482	54688
787	35527	54643
788	35563	54584
789	35602	54530
790	35652	54493
791	35697	54447
792	35740	54399
793	35782	54350
794	35829	54308
795	35867	54251
796	35906	54197
797	35947	54146
798	35992	54101
799	36037	54056
800	36082	54011
801	36115	53947
802	36173	53922
803	36224	53885
804	36262	53831
805	36310	53790
806	36348	53735
807	36391	53687
808	36440	53647
809	36490	53609
810	36545	53579
811	36600	53548
812	36634	53487
813	36688	53455
814	36735	53413
815	36781	53369
816	36824	53321
817	36874	53283
818	36917	53235
819	36968	53198
820	37017	53159
821	37073	53130
822	37123	53091
823	37166	53043
824	37208	52993
825	37251	52945
826	37293	52896
827	37344	52859
828	37394	52821
829	37438	52774
830	37485	52732
831	37536	52696
832	37588	52659
833	37634	52615
834	37680	52571
835	37721	52521
836	37758	52464
837	37800	52415
838	37839	52361
839	37884	52317
840	37936	52281
841	37978	52232
842	38019	52181
843	38073	52148
844	38124	52111
845	38165	52060
846	38219	52027
847	38270	51990
848	38309	51936
849	38357	51895
850	38405	51853
851	38451	51809
852	38506	51778
853	38557	51741
854	38593	51684
855	38641	51642
856	38693	51605
857	38733	51554
858	38780	51512
859	38824	51464
860	38879	51432
861	38931	51397
862	38976	51351
863	39018	51301
864	39068	51263
865	39122	51229
866	39164	51180
867	39218	51146
868	39271	51111
869	39316	51066
870	39364	51024
871	39412	50983
872	39459	50940
873	39508	50900
874	39553	50854
875	39605	50818
876	39654	50777
877	39698	50731
878	39741	50683
879	39781	50630
880	39828	50588
881	39865	50532
882	39905	50480
883	39942	50425
884	39991	50384
885	40041	50345
886	40089	50304
887	40144	50271
888	40193	50230
889	40241	50189
890	40281	50137
891	40328	50094
892	40373	50048
893	40414	49997
894	40453	49945
895	40501	49903
896	40543	49854
897	40588	49808
898	40638	49770
899	40688	49730
900	40728	49679
901	40774	49634
902	40809	49577
903	40860	49539
904	40907	49495
905	40955	49453
906	41004	49413
907	41054	49374
908	41098	49327
909	41136	49273
910	41183	49230
911	41217	49171
912	41262	49126
913	41294	49065
914	41345	49027
915	41391	48982
916	41432	48932
917	41469	48877
918	41519	48838
919	41568	48798
920	41614	48753
921	41656	48704
922	41704	48662
923	41746	48614
924	41788	48564
925	41833	48520
926	41876	48471
927	41922	48427
928	41958	48372
929	41999	48321
930	42044	48276
931	42091	48233
932	42141	48193
933	42190	48152
934	42245	48119
935	42284	48066
936	42333	48026
937	42383	47986
938	42428	47940
939	42462	47882
940	42505	47835
941	42540	47778
942	42590	47739
943	42640	47700
944	42688	47657
945	42724	47602
946	42756	47542
947	42801	47497
948	42845	47450
949	42883	47397
950	42935	47359
951	42981	47315
952	43030	47274
953	43069	47223
954	43093	47154
955	43140	47111
956	43180	47061
957	43229	47020
958	43276	46976
959	43317	46926
960	43352	46871
961	43396	46825
962	43426	46763
963	43468	46715
964	43512	46668
965	43554	46620
966	43603	46579
967	43649	46535
968	43698	46494
969	43742	46447
970	43799	46415
971	43843	46369
972	43882	46317
973	43927	46272
974	43968	46223
975	44021	46186
976	44064	46139
977	44117	46102
978	44161	46055
979	44216	46020
980	44268	45983
981	44315	45940
982	44357	45891
983	44405	45849
984	44457	45811
985	44499	45763
986	44551	45725
987	44595	45679
988	44640	45633
989	44693	45596
990	44732	45545
991	44773	45495
992	44817	45449
993	44861	45403
